gc_orgID,harmonized_name,nom_harmonisé,abbreviation,abreviation,infobaseID,rg,ati,open_gov_ouvert,pop,phoenix,website,site_web
3404,International Bank for Reconstruction and Development,Banque internationale pour la reconstruction et le développement,,,183,,,,,,www.worldbank.org,www.banquemondiale.org
3405,International Development Association,Association internationale de développement,,,185,,,,,,www.worldbank.org,www.banquemondiale.org
3406,International Finance Corporation,Société financière internationale,,,187,,,,,,www.ifc.org,www.ifc.org
3407,International Joint Commission (Canadian Section),Commission mixte internationale (section canadienne),,,189,24,,,IJC,,www.ijc.org,www.ijc.org
3408,International Lake Memphremagog Levels Board,Commission internationale du lac Memphrémagog,,,190,,,,,,,
3409,International Lake of the Woods Control Board,Conseil international de contrôle du lac des Bois,,,191,,,,,,ijc.org/en/ilwcb,ijc.org/fr/ilwcb
3410,International Monetary Fund,Fonds monétaire international,,,192,,,,,,www.imf.org,www.imf.org
3411,Multilateral Investment Guarantee Agency,Agence multilatérale de garantie des investissements,,,213,,,,,,www.miga.org,www.miga.org
3412,Joint Public Advisory Committee (JPAC) of the Commission for Environmental Cooperation (CEC),Comité consultatif public mixte (CCPM) de la Commission de coopération environnementale (CCE),,,233,,,,,,www.cec.org,www.cec.org
3413,World Anti-Doping Agency,Agence mondiale antidopage,,,341,,,,,,www.wada-ama.org/en,www.wada-ama.org/fr
3414,Asian Infrastructure Investment Bank,Banque asiatique d'investissement dans les infrastructures,,,351,,,,,,www.aiib.org,www.aiib.org
3415,Lower Churchill Development Corporation Limited,Lower Churchill Development Corporation Limited,,,201,,,,,,,
3416,North Portage Development Corporation (operating as The Forks North Portage Partnership),North Portage Development Corporation (exploitée sous le nom de The Forks North Portage Partnership),,,234,,,,,,https://www.theforks.com/about/partnership,https://www.theforks.com/about/partnership
3417,Communication Canada,Communication Canada,,,108,,,,CIO,,,
3418,Office of the Superintendent of Bankruptcy,Bureau du surintendant des faillites,,,252,,,,OSB,,,
3419,Prairie Farm Rehabilitation Administration,Administration du rétablissement agricole des Prairies,,,273,,,,REA,,,
3420,Commissioner of Canada Election,Commissaire aux élections fédérales,,,342,,,occe-bcef,OCE,,,
3421,Canada Investment and Savings,Placements Épargne Canada,,,538,,,,,,,
3422,Director of Soldier Settlement,Directeur de l’établissement de soldats,,,541,,,,SST,,,
3423,"The Director, The Veterans’ Land Act",Directeur des terres destinées aux anciens combattants,,,,,,,DVL,,,
3424,Energy Supplies Allocation Board,Office de répartition des approvisionnements d’énergie,,,543,,,esab-orad,ESR,,,
3425,"Staff of the Non-Public Funds, Canadian Forces","Personnel des fonds non publics, Forces canadiennes",,,545,,,,FPF,,,
3426,Statistics Survey Operations,Opérations des enquêtes statistiques,,,553,,,,SYT,,,
3427,Federal Judges not part of any department,Juges fédéraux ne faisant pas partie d'un ministère,,,555,,,,,,,
3428,House of Commons,Chambre des communes,,,2,67,,hoc-cdc,HOC,,www.parl.gc.ca,www.parl.gc.ca
3429,Library of Parliament,Bibliothèque du Parlement,,,200,17,,lp-bp,LIB,,www.parl.gc.ca/About/Library/VirtualLibrary,www.parl.gc.ca/About/Library/VirtualLibrary
3430,Office of the Conflict of Interest and Ethics Commissioner,Commissariat aux conflits d'intérêts et à l'éthique,,,245,147,,,CIE,,ciec-ccie.parl.gc.ca/EN/Pages/default.aspx,ciec-ccie.parl.gc.ca/FR/Pages/default.aspx
3431,Senate Ethics Officer,Conseiller sénatorial en éthique,,,251,151,,,ESN,,sen.parl.gc.ca/seo-cse/eng/Home-e.html,sen.parl.gc.ca/seo-cse/fr/Home-f.html
3432,Senate,Sénat,,,303,9,,,SEN,,www.parl.gc.ca,www.parl.gc.ca
3433,Office of the Parliamentary Budget Officer,Bureau du directeur parlementaire du budget,,,346,183,,,PBO,,www.pbo-dpb.gc.ca/en/,www.pbo-dpb.gc.ca/fr/
3434,Parliamentary Protective Service,Service de protection parlementaire,,,554,176,,,PPS,,,
3435,Aéroport de Québec Inc.,Aéroport de Québec Inc.,,,5,,,,,,www.aeroportdequebec.com,www.aeroportdequebec.com
3436,Aéroports de Montréal,Aéroports de Montréal,,,6,,,,,,www.admtl.com,www.admtl.com
3437,Asia-Pacific Foundation of Canada,Fondation Asie-Pacifique du Canada,,,9,,Asia Pacific Foundation of Canada,apfc-fapc,,,www.asiapacific.ca,www.asiapacific.ca
3438,Association of Canada Lands Surveyors,Association des Arpenteurs des Terres du Canada,,,11,,,,,,www.acls-aatc.ca,www.acls-aatc.ca
3439,Belledune Port Authority,Administration portuaire de Belledune,,,16,,Belledune Port Authority,pb,,,www.portofbelledune.ca,www.portofbelledune.ca
3440,Buffalo and Fort Erie Public Bridge Authority,Buffalo and Fort Erie Public Bridge Authority,,,19,,,,,,www.peacebridge.com,www.peacebridge.com
3441,Calgary Airport Authority,Administration aéroportuaire de Calgary,,,21,,,,,,www.yyc.com,www.yyc.com
3442,WinSport,WinSport,,,22,,,,,,www.winsport.ca,www.winsport.ca
3443,Canada Foundation for Innovation,Fondation canadienne pour l’innovation,,,35,,Canada Foundation for Innovation,innovation,,,www.innovation.ca,www.innovation.ca
3444,Canada Foundation for Sustainable Development Technology,Fondation du Canada pour l’appui technologique au développement durable,,,36,,Sustainable Development Technology Canada,,,,www.sdtc.ca,www.sdtc.ca
3445,Canada Games Council,Conseil des Jeux du Canada,,,37,,,,,,www.canadagames.ca,www.canadagames.ca
3446,Canada Health Infoway Inc.,Inforoute Santé du Canada Inc.,,,38,,,,,,www.infoway-inforoute.ca,www.infoway-inforoute.ca
3447,Canada Media Fund,Fonds des médias du Canada,,,41,,,,,,www.cmf-fmc.ca,www.cmf-fmc.ca
