gc_orgID,name,harmonized_name
2223,canadian heritage,Canadian Heritage
3536,canadian heritage information network,Canadian Heritage Information Network
2223,canadian heritage patrimoine canadien,Canadian Heritage
2318,canadian high arctic research station station canadienne recherche dans extreme-arctique,Polar Knowledge Canada
2247,canadian human rights commission,Canadian Human Rights Commission
2247,canadian human rights commission commission canadienne droits personne,Canadian Human Rights Commission
3683,canadian human rights tribunal,Canadian Human Rights Tribunal
3683,canadian human rights tribunal tribunal droits personne,Canadian Human Rights Tribunal
3453,canadian institute for health information cihi,Canadian Institute for Health Information (CIHI)
2307,canadian institutes health research,Canadian Institutes of Health Research
2307,canadian institutes health research instituts recherche en sante,Canadian Institutes of Health Research
3537,canadian intellectual property office,Canadian Intellectual Property Office
3537,canadian intellectual property office office propriete intellectuelle,Canadian Intellectual Property Office
2248,canadian intergovernmental conference secretariat,Canadian Intergovernmental Conference Secretariat
2248,canadian intergovernmental conference secretariat secretariat conferences intergouvernementales canadiennes,Canadian Intergovernmental Conference Secretariat
3684,canadian international development agency,Canadian International Development Agency
3521,canadian international grains institute,Canadian International Grains Institute
3685,canadian international trade tribunal,Canadian International Trade Tribunal
3685,canadian international trade tribunal tribunal canadien commerce exterieur,Canadian International Trade Tribunal
3558,canadian judicial council,Canadian Judicial Council
3454,canadian livestock records corporation,Canadian Livestock Records Corporation
3602,canadian museum contemporary photography,Canadian Museum of Contemporary Photography
3620,canadian museum for human rights,Canadian Museum for Human Rights
3620,canadian museum for human rights musee canadien pour droits personne,Canadian Museum for Human Rights
3621,canadian museum history,Canadian Museum of History
3561,canadian museum history canadian war museum,Canadian War Museum
3621,canadian museum history musee canadien histoire,Canadian Museum of History
3622,canadian museum immigration at pier 21,Canadian Museum of Immigration at Pier 21
3622,canadian museum immigration at pier 21 musee canadien immigration quai 21,Canadian Museum of Immigration at Pier 21
3623,canadian museum nature,Canadian Museum of Nature
3623,canadian museum nature musee canadien nature,Canadian Museum of Nature
2249,canadian northern economic development agency,Canadian Northern Economic Development Agency
2249,canadian northern economic development agency agence canadienne developpement economique nord,Canadian Northern Economic Development Agency
2308,canadian nuclear safety commission,Canadian Nuclear Safety Commission
2308,canadian nuclear safety commission commission canadienne securite nucleaire,Canadian Nuclear Safety Commission
2308,canadian nuclear safety commission commission canadienne surete nucleaire,Canadian Nuclear Safety Commission
3538,canadian pari-mutuel agency,Canadian Pari-Mutuel Agency
3455,canadian partnership against cancer corporation cpac,Canadian Partnership Against Cancer Corporation (CPAC)
3456,canadian patient safety institute cpsi,Canadian Patient Safety Institute (CPSI)
2318,canadian polar commission,Polar Knowledge Canada
2318,canadian polar commission commission affaires polaires,Polar Knowledge Canada
3624,canadian race relations foundation,Canadian Race Relations Foundation
2396,canadian radio-television telecommunications commission,Canadian Radio-television and Telecommunications Commission
2396,canadian radio-television telecommunications commission conseil radio diffusion telecommunications canadienne,Canadian Radio-television and Telecommunications Commission
2396,canadian radio-television telecommunications commission conseil radiodiffusion telecommunications canadiennes,Canadian Radio-television and Telecommunications Commission
2250,canadian security intelligence service,Canadian Security Intelligence Service
2250,canadian security intelligence service service canadien renseignement securite,Canadian Security Intelligence Service
2251,canadian space agency,Canadian Space Agency
2251,canadian space agency agence spatiale canadienne,Canadian Space Agency
3559,canadian special operations forces command,Canadian Special Operations Forces Command
3457,canadian sport institute ontario,Canadian Sport Institute Ontario
3647,canadian tourism commission,Canadian Tourism Commission
3560,canadian trade commissioner service,Canadian Trade Commissioner Service
2252,canadian transportation agency,Canadian Transportation Agency
2252,canadian transportation agency office transports,Canadian Transportation Agency
3561,canadian war museum,Canadian War Museum
3522,canadian wheat board,"Canadian Wheat Board, The"
2260,canafe,Financial Transactions and Reports Analysis Centre of Canada
2260,canafe-fintrac.gc.ca,Financial Transactions and Reports Analysis Centre of Canada
2249,cannor,Canadian Northern Economic Development Agency
2249,cannor.gc.ca,Canadian Northern Economic Development Agency
2315,cap,Parks Canada
2319,caq,Accessibility Standards Canada
3401,caribbean development bank,Caribbean Development Bank
2256,cas,Courts Administration Service
2256,cas-satj,Courts Administration Service
2256,cas-satj.gc.ca,Courts Administration Service
2319,casdo-ocena,Accessibility Standards Canada
3655,catsa,Canadian Air Transport Security Authority
3655,catsa-acsta.gc.ca,Canadian Air Transport Security Authority
2254,cb,Copyright Board Canada
2231,cb-bc.gc.ca,"Innovation, Science and Economic Development Canada"
2254,cb-cda,Copyright Board Canada
2254,cb-cda.gc.ca,Copyright Board Canada
2300,cbsa,Canada Border Services Agency
2300,cbsa-asfc,Canada Border Services Agency
2300,cbsa-asfc.gc.ca,Canada Border Services Agency
2300,cbsa.gc.ca,Canada Border Services Agency
2311,ccbn,The National Battlefields Commission
2311,ccbn-nbc.gc.ca,The National Battlefields Commission
2253,cccs,Communications Security Establishment Canada
2247,ccdp,Canadian Human Rights Commission
2247,ccdp-chrc.gc.ca,Canadian Human Rights Commission
2290,ccetp,Civilian Review and Complaints Commission for the RCMP
2290,ccetp-crcc.gc.ca,Civilian Review and Complaints Commission for the RCMP
2246,ccg,Canadian Grain Commission
2305,cchst,Canadian Centre for Occupational Health and Safety
2305,cchst.ca,Canadian Centre for Occupational Health and Safety
3615,ccl-cdc.gc.ca,Canadian Dairy Commission
2305,ccohs,Canadian Centre for Occupational Health and Safety
2305,ccohs-cchst,Canadian Centre for Occupational Health and Safety
2305,ccohs.ca,Canadian Centre for Occupational Health and Safety
2308,ccsn,Canadian Nuclear Safety Commission
2308,ccsn-cnsc.gc.ca,Canadian Nuclear Safety Commission
2254,cda,Copyright Board Canada
2254,cda-cb.gc.ca,Copyright Board Canada
3615,cdc,Canadian Dairy Commission
3615,cdc-ccl.gc.ca,Canadian Dairy Commission
3591,cds-snc.ca,Service Canada
2257,ced,Canada Economic Development for Quebec Regions
2257,ced-dec,Canada Economic Development for Quebec Regions
2257,ced-dec.gc.ca,Canada Economic Development for Quebec Regions
2257,cedq,Canada Economic Development for Quebec Regions
2289,cee,RCMP External Review Committee
2263,ceegm,Military Grievances External Review Committee
2263,ceegm-mgerc.gc.ca,Military Grievances External Review Committee
2302,ceic,Canada Employment Insurance Commission
2302,ceic-caec,Canada Employment Insurance Commission
2260,centre analyse operations declarations financieres,Financial Transactions and Reports Analysis Centre of Canada
2260,centre analyse operations declarations financieres financial transactions reports analysis centre,Financial Transactions and Reports Analysis Centre of Canada
3555,centre armes feu,Canada Firearms Centre
3601,centre canadien eaux interieures,Canada Centre for Inland Waters
2305,centre canadien hygiene securite travail,Canadian Centre for Occupational Health and Safety
2305,centre canadien hygiene securite travail canadian centre for occupational health safety,Canadian Centre for Occupational Health and Safety
3451,centre canadien sur dependances usage substances,Canadian Centre on Substance Use and Addictions
3527,centre international droits personne developpement democratique,International Centre for Human Rights and Democratic Development
3523,centre national multisport - montreal,Centre national multisport-Montréal
3523,centre national multisport-montreal,Centre national multisport-Montréal
3641,centre recherches pour developpement international,International Development Research Centre
3562,centre recherches sur communications,Communications Research Centre Canada
3498,centre reglement differends sportifs,Sport Dispute Resolution Centre of Canada
2253,centre securite telecommunications,Communications Security Establishment Canada
2253,centre securite telecommunications communications security establishment,Communications Security Establishment Canada
2271,ceo,Elections Canada
2283,cepmb,Patented Medicine Prices Review Board Canada
2283,cepmb-pmprb.gc.ca,Patented Medicine Prices Review Board Canada
2312,cer,Canada Energy Regulator
2312,cer-rec,Canada Energy Regulator
2312,cer-rec.gc.ca,Canada Energy Regulator
2301,ceria-acire,Canada Emission Reduction Incentives Agency
2304,ces,Canada School of Public Service
2260,cfc,Financial Transactions and Reports Analysis Centre of Canada
2241,cfc-swc.gc.ca,Women and Gender Equality Canada
2306,cfia,Canadian Food Inspection Agency
